sigungu_cd,bjdong_cd,대지위치,건물명,주용도,세대수,사용승인일,연식,연면적(㎡),전기_연간사용량(kWh),가스_연간사용량(MJ),전기_EUI,가스_EUI
29170,10100,광주광역시 북구 중흥동 270-17번지,,제1종근린생활시설,0,19910111,35,361.69,23668.0,9731.0,65.43725289612652,26.904255025021428
29170,10100,광주광역시 북구 중흥동 270-20번지,,제1종근린생활시설,0,19821220,44,157.86,10399.0,17014.0,65.87482579500823,107.77904472317242
29170,10100,광주광역시 북구 중흥동 271-1번지,,제1종근린생활시설,0,19811215,45,106.37,11947.0,5829.0,112.31550249130393,54.79928551283256
29170,10100,광주광역시 북구 중흥동 271-7번지,,제1종근린생활시설,0,19810219,45,124.55,5720.0,1089.0,45.925331192292255,8.74347651545564
29170,10100,광주광역시 북구 중흥동 271-10번지,,제1종근린생활시설,0,19871218,39,331.27,17756.0,17084.0,53.59978265463218,51.57122588824826
29170,10100,광주광역시 북구 중흥동 271-22번지,,제2종근린생활시설,0,19871202,39,121.29,5242.0,8463.0,43.21873196471267,69.7749196141479
29170,10100,광주광역시 북구 중흥동 271-24번지,,제2종근린생활시설,0,19810620,45,147.21,20963.0,18813.0,142.40201073296652,127.7970246586509
29170,10100,광주광역시 북구 중흥동 271-25번지,,제2종근린생활시설,1,19901012,36,195.92,6627.0,0.0,33.8250306247448,0.0
29170,10100,광주광역시 북구 중흥동 271-36번지,,제2종근린생활시설,0,19860623,40,197.13,17172.0,0.0,87.11002891492923,0.0
29170,10100,광주광역시 북구 중흥동 272-6번지,,판매시설,0,19810826,45,179.72,171692.0,41018.0,955.3305141330959,228.23280658802582
29170,10100,광주광역시 북구 중흥동 272-6번지,,제1종근린생활시설,0,19810826,45,81.85,171692.0,41018.0,2097.6420281001833,501.13622480146614
29170,10100,광주광역시 북구 중흥동 272-6번지,,판매시설,0,19900703,36,468.18,171692.0,41018.0,366.72220086291594,87.61160237515486
29170,10100,광주광역시 북구 중흥동 272-6번지,,제1종근린생활시설,0,19810826,45,209.576,171692.0,41018.0,819.2350269114785,195.7189754552048
29170,10100,광주광역시 북구 중흥동 272-6번지,,제2종근린생활시설,0,19810826,45,431.42,171692.0,41018.0,397.96949608270364,95.07672337861017
29170,10100,광주광역시 북구 중흥동 272-6번지,,제1종근린생활시설,0,19900703,36,129.98,171692.0,41018.0,1320.9109093706725,315.5716264040622
29170,10100,광주광역시 북구 중흥동 272-6번지,,제1종근린생활시설,0,19810826,45,74.48,171692.0,41018.0,2305.2094522019333,550.7250268528463
29170,10100,광주광역시 북구 중흥동 272-6번지,,제1종근린생활시설,0,19810826,45,81.4,171692.0,41018.0,2109.2383292383292,503.9066339066339
29170,10100,광주광역시 북구 중흥동 273-1번지,,제1종근린생활시설,0,19860722,40,148.52,22500.0,15412.0,151.494748182063,103.77053595475356
29170,10100,광주광역시 북구 중흥동 273-7번지,,제1종근린생활시설,0,19800711,46,164.0,5291.0,22963.0,32.26219512195122,140.01829268292684
29170,10100,광주광역시 북구 중흥동 273-18번지,,제1종근린생활시설,0,19810121,45,119.92,2132.0,5228.0,17.778519012675115,43.59573048699133
29170,10100,광주광역시 북구 중흥동 273-23번지,,제1종근린생활시설,0,19830207,43,120.86,18137.0,5900.0,150.0661922885984,48.816812841303985
29170,10100,광주광역시 북구 중흥동 274-2번지,,제2종근린생활시설,0,19830608,43,127.84,13414.0,0.0,104.92803504380475,0.0
29170,10100,광주광역시 북구 중흥동 274-14번지,,제1종근린생활시설,0,19880601,38,183.07,6788.0,6718.0,37.078713060577925,36.69634566013001
29170,10100,광주광역시 북구 중흥동 274-25번지,,제2종근린생활시설,0,19820726,44,137.89,11153.0,15828.0,80.88331278555371,114.78714917688013
29170,10100,광주광역시 북구 중흥동 275-1번지,,제2종근린생활시설,0,19950913,31,449.88,89746.0,0.0,199.48875255623722,0.0
29170,10100,광주광역시 북구 중흥동 275-2번지,,제2종근린생활시설,0,19920617,34,494.55,53192.0,18396.0,107.556364371651,37.197452229299365
29170,10100,광주광역시 북구 중흥동 275-3번지,,제2종근린생활시설,0,19920318,34,458.25,68394.0,26151.0,149.25040916530278,57.0671031096563
29170,10100,광주광역시 북구 중흥동 275-4번지,,제2종근린생활시설,0,19960316,30,520.87,69616.0,54759.0,133.6533108069192,105.1298788565285
29170,10100,광주광역시 북구 중흥동 275-9번지,,제2종근린생활시설,0,19951114,31,448.48,55626.0,31234.0,124.03228683553336,69.64413128790581
29170,10100,광주광역시 북구 중흥동 276-18번지,,제1종근린생활시설,0,19810910,45,111.19,12623.0,9139.0,113.52639625865636,82.19264322331145
29170,10100,광주광역시 북구 중흥동 276-32번지,,제2종근린생활시설,0,19811012,45,163.38,53810.0,38749.0,329.3548781980659,237.17101236381444
